Name,Type,Form ID,Status,Also Known As,Count
Ameren UE Plant,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",TGPF3,Marked/Current,,1
America's Center,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",SFSL15,Marked/Current,,1
Amitis Movie Theater,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",AHFS7,Erased /Demolished,,1
AMOCO Sign,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""","MZSPE2,MZSPB21,MZSPJ6,MZSPK9,SLPLC19",Marked/Current,,5
Amtrak,"""Infrastructure (Streets, Highways, Water Tower)""","SFSL15,PULS1",Marked/Current,,2
Ancient Indian Hunting Trail,Notable Site,MZSPL2,Erased /Demolished,,1
Angry Beaver,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",SFTF4,Marked/Current,,1
Anheuser Busch Brewery,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""","MZSPC4,MZSPE11,MZSPB28,MZSPB47,SFSL4,SFSL5,SFSL15,SFSL17,SLAM22,SLAM23,SFSLB2,WUEC15,TGFM11,MOHM11,TGPF27,MOBG8,CLSC1,CCFV7,MZSPL6,MZSPL15",Marked/Current,,20
Animal House,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",MOHMB1,Erased /Demolished,,1
Antique Row,Neighborhood (Internal and External Lines),CAML4,Marked/Current,,1
Apotheosis Comics & Lounge,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",TGPF29,Marked/Current,,1
Apotheosis of St. Louis,"""Artwork (Statue, Sculpture)""","MZSPC2,MZSPF6,MZSPB22,SFSL20,MTHS1,PULS18,SLAM37,SFSLB2,LSRC2,WUEC15,MOHM10,MZSPK15",Marked/Current,,12
Arch,Arch (Gateway Arch),"MZSPA2,MZSPA4 ,MZSPA7,MZSPA8,MZSPA11,MZSPA12,MZSPA18,MZSPA20,MZSPA21,MZSPC1,MZSPC2,MZSPC3,MZSPC4,MZSPC6,MZSPC7,MZSPC9,MZSPC10,MZSPC11,MZSPD2,MZSPD4,MTHS3,MTHS4,MTHS9,MTHS11,MTHS12,MZSPE1,MZSPE4,MZSPE5,MZSPE7,MZSPE9,MZSPE10,MZSPE11,MZSPE14,MZSPB2,MZSPB4,MZSPB6,MZSPB8,MZSPB9,MZSPB10,MZSPB11,MZSPB16,MZSPB18,MZSPB19,MZSPB21,MZSPB22,MZSPB23,MZSPB24,MZSPB26,MZSPB28,MZSPB29,MZSPB30,MZSPB31,MZSPB32,MZSPB34,MZSPB35,MZSPB36,MZSPB39,MZSPB40,MZSPB46,MZSPB47,MZSPF2,MZSPF3,MZSPF4,MZSPF5,MZSPF6,MZSPF9,MZSPF11,MZSPF13,MZSPF14,AHFS1,AHFS2,INDI3,INDI4,INDI8,INDI10,INDI13,SFSL2,SFSL3,SFSL4,SFSL7,SFSL8,SFSL9,SFSL13,SFSL14,SFSL15,SFSL17,SFSL19,SFSL23,SFSL24,SFSL27,MZSPB12,MZSPB13,SFSL28,SFSL30,SFSL37,SFSL38,SFSL40,SFSL41,TRNG3,LOOP1,LOOP4,LOOP5,LOOP6,LOOP9,LOOP10,LOOP11,LOOP12,LOOP14,LOOP15,MZSPH1,MZSPH3,OFRC4,OFRC8,OFRC9,MZSPH5,PULS2,PULS3,PULS9,PULS16,PULS18,PULS19,PULS21,CRC2,CRC3,CRC5,CRC6,CRC7,CRC8,MZSPI1,MZSPI2,MZSPI3,MZSPI5,MZSPI6,MOHMB2,MOHMB4,SLAM1,SLAM4,SLAM6,SLAM7,SLAM9,SLAM12,SLAM20,SLAM21,SLAM23,SLAM25,SLAM26,SLAM28,SLAM30,SLAM31,SLAM33,SLAM35,SFSLB1,SFSLB2,SFSLB3,SFSLB4,SFSLB6,SFSLB11,SFSLB12,SFSLB13,SFSLB15,SFSLB16,SFSLB17,SFSLB19,LSRC1,LSRC5,LSRC6,TGEM2,TGEM5,WUEC4,WUEC6,WUEC8,WUEC11,WUEC12,WUEC14,WUEC15,WUEC16,WUEC17,WUEC19,MZSPJ1,MZSPJ2,MZSPJ3,MZSPJ5,MZSPJ6,TGFM2,TGFM4,TGFM5,TGFM6,TGFM8,TGFM9,TGFM10,MZSPK2,MZSPK3,MZSPK5,MZSPK6,MZSPK7,MZSPK8,TGPF2,TGPF5,TGPF6,TGPF8,TGPF14,JCLB1,JCLB4,JCLB11,MZSPG1,MZSPG10,MZSPG11,MZSPG12,MOHM4,MOHM5,MOHM7,MOHM10,MOHM11,MOHM18,MOHM21,MZSPK11,MZSPK13,MZSPK14,MZSPK15,TGPF21,TGPF23,TGPF24,TGPF27,USAC10,MOBG1,MOBG2,MOBG5,MOBG7,SFTF2,SFTF6,WUECB2,WUECB6,WUECB7,WUECB8,WUECB9,WUECB14,CBOHA1,WUECC2,WUECC3,CLSC1,CLSC2,CLSC4,AGGA2,AGGA3,AGGA4,AGGA5,AGGA7,AGGA8,AGGA16,AGGA17,AGGA19,WCRC2,WCRC5,WCRC6,WCRC7,WCRC8,WCRC9,WCRC11,WCRC12,WCRC14,WCRC16,WCRC17,WCRC18,WCRC19,WCRC20,CCFV1,CCFV5,CCFV7,MZSPL1,MZSPL5,MZSPL6,MZSPL7,MZSPL8,MZSPL11,MZSPL15,MZSPM4,MZSPM5,PAFB1,PAFB3,PAFB4,PAFB5,MOHMC2,MOHMC3,MOHMC5,MOHMC6,CAML2,CAML3,CAML6,CAML8,CAML10,TVBP7,TVBP11,TVBP16,MZSPN3,CSRF1,CSRF6,CSRF7,SLPLB3,SLPLB5,SLPLB11,HMES11,SLPLC12,SLPLC13,SLPLC15,MZSPO4,MZSPO5",Marked/Current,,306
Arch (unmarked),Personal Site,MZSPG13,Potential/Imaginary,,1
Arch Grounds,"""Park Space (Park, Garden, Tree, Skate Park)""",CSRF6,Marked/Current,,1
Arkansas,Other Places,INDI11,Marked/Current,,1
"Arnold, Missouri",Other Places,AGGA2,Marked/Current,,1
Arsenal Street,"""Infrastructure (Streets, Highways, Water Tower)""","TRNG7,PULS6,TGEM3,JCLB8,MZSPK12,MOBG10",Marked/Current,,6
Art Galleries and Spaces,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",SLPLC18,Potential/Imaginary,,1
Art Hill,Notable Site,"SFSL4,SFSL12,PULS7,SLAM1,SLAM8,SFSLB2,TGFM9,MOHM10,MZSPK11,MOBG2,SFTF1,MZSPL1,MZSPL8,SLPLB,SLPLC1,SLPLC19,MZSPO5",Marked/Current,,17
Art House,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""","AGGA1,AGGA11,AGGA15",Marked/Current,,3
Asia Cafe,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",MZSPA19,Erased /Demolished,,1
Attitude's Night Club,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",MZSPK10,Marked/Current,,1
Aubert Street,"""Infrastructure (Streets, Highways, Water Tower)""","LPCM3,LPCM4",Marked/Current,,2
Automotive Alley,Notable Site,MZSPA19,Marked/Current,,1
Baden Neighborhood,Neighborhood (Internal and External Lines),CRC4,Marked/Current,,1
Baerveldt Park,"""Park Space (Park, Garden, Tree, Skate Park)""",TGPF15,Marked/Current,,1
Bakery (unmarked),"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",SFSLB18,Marked/Current,,1
Ballpark Village,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""","MZSPB26,MZSPB46,SFSL30,SFSL41,LSRC6,RPSL3,SLPLC12,SLPLC13",Marked/Current,,8
Bar (unmarked),"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",MZSPB35,Marked/Current,,1
Barnes-Jewish Hospital,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""","AHFS3,SFSL17,TGFM5,MZSPK11",Marked/Current,,4
Barriers Street Barricades,"""Infrastructure (Streets, Highways, Water Tower)""","MZSPE3,TGFM6",Marked/Current,,2
Basilica of Saint Louis (Old Cathedral / Downtown),"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""","SLAM37,MZSPK6",Marked/Current,,2
Baths Of The Virgin Martyrs,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",SLAM18,Erased /Demolished,,1
Battle of St. Louis Marker,Notable Site,SLPLB11,Marked/Current,,1
Bayard Ave,"""Infrastructure (Streets, Highways, Water Tower)""",LPCM3,Marked/Current,,1
"BB's Jazz, Blues and Soups","""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",AGGA16,Marked/Current,,1
Beaumont High School,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",AGGA1,Erased /Demolished,,1
Beef O'Brady's,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",SFSLB7,Marked/Current,,1
Bellefontaine Cemetery,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""","INDI15,SFSL2,SFSL3,MOHMD2",Marked/Current,,4
Bellefontaine Neighbors,Other Places,"SFSL38,MZSPN1",Marked/Current,,2
Bellerive Park,"""Park Space (Park, Garden, Tree, Skate Park)""",TGPF3,Marked/Current,,1
"Belleville, IL",Other Places,"SLPLC15,MZSPO5",Marked/Current,,2
Belmont Ave,"""Infrastructure (Streets, Highways, Water Tower)""",HMES4,Marked/Current,,1
Benton Park,"""Park Space (Park, Garden, Tree, Skate Park)"",Neighborhood (Internal and External Lines)","MZSPA15,INDI2,SFSL7,CRC3,TGFM9,JCLB8,MZSPG11,MOBG11,CSRF6",Marked/Current,,9
Benton Park Neighborhood,Neighborhood (Internal and External Lines),,Marked/Current,,0
Benton Park West Neighborhood,Neighborhood (Internal and External Lines),TGPF12,Marked/Current,,1
Berra Park,"""Park Space (Park, Garden, Tree, Skate Park)""","SLAM3,WUEC15",Marked/Current,,2
Best Steak House,"""Infrastructure (Streets, Highways, Water Tower)""",MOHMB2,Marked/Current,,1
Bevo Mill,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""","MZSPA6,MZSPC4,MZSPB9,MZSPB10,CBOHB3,SLPLB6",Marked/Current,,6
Bevo Mill Neighborhood,Neighborhood (Internal and External Lines),TGPF12,Marked/Current,,1
Biddle House,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",LOOP9,Marked/Current,,1
Big Bend Blvd,"""Infrastructure (Streets, Highways, Water Tower)""","MZSPA18,SLAM13,MZSPK9",Marked/Current,,3
Big Chief Roadhouse,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",MZSPL2,Marked/Current,,1
Big Mound,Mounds,"MZSPB19,MZSPL9,CSRF2",Marked/Current,,3
Bingham Street,"""Infrastructure (Streets, Highways, Water Tower)""",SLAM15,Marked/Current,,1
Bird Building,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",TGFM4,Marked/Current,,1
Bissell Mansion,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""","INDI15,WUEC15",Marked/Current,,2
Bissell Point Plant,"""Infrastructure (Streets, Highways, Water Tower)""",JCLB10,Marked/Current,,1
Bissell Water Tower,"""Infrastructure (Streets, Highways, Water Tower)""","INDI15,PULS15",Marked/Current,,2
Black Artists Group,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",INDI12,Erased /Demolished,,1
Black Diamond Hotel,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",FPPCA1,Marked/Current,,1
Blackburn Park,"""Park Space (Park, Garden, Tree, Skate Park)""",SFSL20,Marked/Current,,1
Blondie's St. Louis,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",SFSL21,Marked/Current,,1
Blue Black by Ellsworth Kelly,"""Artwork (Statue, Sculpture)""",MZSPK15,Marked/Current,,1
Blueberry Hill Restaurant ,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""","MZSPE12,SFSLB16,TGPF26,SLPLC15",Marked/Current,,4
Blues City Deli,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""","MZSPG14,MZSPG15,SFTF4",Marked/Current,,3
Bluewood,Notable Site,SLAM2,Marked/Current,,1
Boathouse at Carondelet Park,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",SLPLB11,Marked/Current,,1
Boathouse at Lafayette Park,Notable Site,MOHM9,Marked/Current,,1
Boeing Company,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",SFSLB6,Marked/Current,,1
Botanical Gardens,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""","MZSPA18,MZSPE4,MZSPE5,MZSPE10,MZSPE11,MZSPB11,MZSPB24,AHFS5,INDI15,SFSL2,SFSL4,SFSL7,SFSL17,SFSL21,MZSPB12,SFSL40,SFSL41,PULS6,PULS20,SLAM16,SLAM23,SFSLB2,SFSLB16,WUEC16,TGFM5,TGFM8,TGFM9,TGFM10,MZSPK4,TGPF5,MOHM11,MOHM21,MZSPK16,TGPF26,MOBG2,MOBG10,CBOHA1,CLSC1,CLSC3,AGGA2,PAFB2,CSRF6,SLPLB4,SLPLC15,MZSPO2,MZSPO4",Marked/Current,,46
Botanical Heights Neighborhood,Neighborhood (Internal and External Lines),WUECC7,Marked/Current,,1
Boulevard Heights Neighborhood,Neighborhood (Internal and External Lines),,Marked/Current,,0
Bowling Alley (unmarked),"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",CCFV4,Marked/Current,,1
Bread Company,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",SFSL37,Marked/Current,,1
BrewHub,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",SLAM2,Marked/Current,,1
Brick River Cider,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",SLAM2,Marked/Current,,1
Brick wall,"""Infrastructure (Streets, Highways, Water Tower)""",MZSPM1,Marked/Current,,1
Bridge (unmarked),"""Infrastructure (Streets, Highways, Water Tower)""",MZSPE15,Marked/Current,,1
Bridgeton Landfill,Notable Site,"PULS11,MZSPG12",Marked/Current,,2
Broadway,"""Infrastructure (Streets, Highways, Water Tower)""","TRNG7,MZSPB20,MZSPG11,AGGA3",Marked/Current,,4
Broadway Oyster Bar,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""","SFSL15,PULS13",Marked/Current,,2
"Brooklyn, IL",Other Places,"TGPF6,SLPLC12",Marked/Current,,2
Brown Shoe Company,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",MOHMB2,Marked/Current,,1
Brussel's Ferry,Other Places,SLAM1,Marked/Current,,1
Budweiser Sign ,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""","MZSPF4,FPPCA1",Marked/Current,,2
Building (unmarked),"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""","MZSPE8,MZSPE9,MZSPB2,MZSPB6,MZSPB8,MZSPB31,MZSPF3,MZSPF12,WUECC1,WCRC4",Marked/Current,,10
Bull and Bear,"""Artwork (Statue, Sculpture)""",SFTF3,Marked/Current,,1
Busch Stadium,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""","MZSPA7,MZSPA12,MZSPA18,MZSPA19,MZSPC1,MZSPC4,MTHS5,MZSPE4,MZSPB16,MZSPB21,MZSPF2,MZSPF13,SFSL4,SFSL5,SFSL10,SFSL15,SFSL17,SFSL19,MZSPB12,SFSL37,SFSL41,LOOP5,MZSPH1,CRC3,SLAM1,SLAM23,SLAM26,SFSLB2,SFSLB4,SFSLB6,SFSLB16,SFSLB17,LSRC6,TGEM5,MZSPJ5,RPSL3,TGFM5,TGFM9,MZSPK5,TGPF8,MOHM4,MOHM11,TGPF27,MOBG4,CAMF2,AGGA16,WCRC14,WCRC17,WCRC18,CAML8,HMES11,SLPLC15,MZSPO4",Marked/Current,,53
Busch Stadium II (Old Busch Stadium),"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""","MZSPF17,SLAM17,MZSPJ1",Erased /Demolished,,3
Businesses (unmarked),"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",HMES7,Potential/Imaginary,,1
Butterfly House,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""","AHFS5,SLAM1,SFSLB15,SFSLB16,MOHM21",Marked/Current,,5
Buttery,,,,,0
Cabanne Court,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",MOHMB1,Erased /Demolished,,1
Cafe Mochi,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",MZSPL12,Marked/Current,,1
Cahokia,Other Places,HMES12,Marked/Current,,1
Cahokia Mounds,Mounds,"MZSPA21,MZSPE5,MZSPB21,MZSPF1,MZSPF7,INDI3,INDI12,SFSL38,SFSL8,TRNG7,SLAM31,MZSPJ1,TGFM9,MZSPK6,TGPF3,JCLB1,CAML12",Marked/Current,,17
Calvary Cemetery,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""","INDI15,SLAM19,TGPF2,TGPF3",Marked/Current,,4
Campbell House Museum,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""","WUEC15,MOHM21",Marked/Current,,2
Cardinal Glennon,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",TGPF5,Marked/Current,,1
Cardinal Ritter High School,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",MTHS10,Marked/Current,,1
Cargill,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",HMES2,Marked/Current,,1
Carondelet Neighborhood,Neighborhood (Internal and External Lines),TRNG2,Marked/Current,,1
Carondelet Park,"""Park Space (Park, Garden, Tree, Skate Park)""","TRNG7,MZSPA15,AHFS4,INDI15,SFSL12,TRNG2,LSRC3,TGFM4,MOBG11,CSRF6",Marked/Current,,10
Carondolet YMCA,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",MZSPK6,Marked/Current,,1
Carr Square Neighborhood,Neighborhood (Internal and External Lines),,Marked/Current,,0
Carroll Street,"""Infrastructure (Streets, Highways, Water Tower)""",PULS14,Marked/Current,,1
Caseyville,Other Places,HMES12,Marked/Current,,1
Casino (unmarked),"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",MZSPL15,Marked/Current,,1
Casino Queen,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""","HMES2,HMES7",Marked/Current,,2
Castlewood State Park,"""Park Space (Park, Garden, Tree, Skate Park)""","CLSC1,CSRF6",Marked/Current,,2
Cathedral Basilica of Saint Louis (New Cathedral / CWE),"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""","MZSPF11,INDI15,SFSL15,SFSL27,OFRC6,PULS21,SLAM7,SLAM37,SFSLB2,LSRC6,LSRC7,MZSPK6,TGPF6,MZSPG16,MOHM11,MZSPK11,CAMF3,MZSPL14,SLPLA3",Marked/Current,Saint Louis Cathedral,19
Caves,Waterways and Geological Features,"INDI12,CAML7",Marked/Current,,2
Centaur Chute,Waterways and Geological Features,MZSPL2,Marked/Current,,1
Center Cross Dr,"""Infrastructure (Streets, Highways, Water Tower)""",MZSPK12,Marked/Current,,1
Center Ice Brewing,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""","TGFM11,SLAM2",Marked/Current,,2
Central Corridor,Notable Site,AHFS3,Marked/Current,,1
Central High School,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",AGGA1,Erased /Demolished,,1
Central Library,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""","TRNG6,SFSL27,LSRC6,CLSC6,CSRF5,SLPLC7,SLPLC8",Marked/Current,,7
Central Turner Hall,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",MZSPA20,Erased /Demolished,,1
Central West End Neighborhood,Neighborhood (Internal and External Lines),"MZSPA12,MTHS5,INDI15,SFSL15,SFSL17,MZSPB12,TRNG4,SLAM31,SFSLB2,TGPF3,TGPF6,MOHM11,MOHM20,SLPLC3,SLPLC15",Marked/Current,,15
Centreville,Other Places,"HMES7,HMES12",Marked/Current,,2
Chaifetz Arena,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",SFSL15,Marked/Current,,1
Chain of Rocks Amusement Park,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",CCFV1,Erased /Demolished,,1
Chain of Rocks Bridge,"""Infrastructure (Streets, Highways, Water Tower)""","MZSPH1,PULS15,SLAM3,TGEM2,CLSC1",Marked/Current,,5
Chapel (unmarked),"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",PULS7,Marked/Current,,1
Charles Eames Bithplace ,Notable Site,MZSPG12,Potential/Imaginary,,1
Charleville Brewing Co.,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""","PULS13,SLAM2",Marked/Current,,2
Chatillon-DeMenil Mansion,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""","INDI15,SFSL3,TGEM5,MOHM21",Marked/Current,,4
Cheap TRX,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""","MZSPA11,MZSPL12",Marked/Current,,2
Chef Ma's Chinese Gourmet,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",MZSPL14,Marked/Current,,1
Cheltenham Neighborhood,Neighborhood (Internal and External Lines),,Marked/Current,,0
Cherokee Park,"""Park Space (Park, Garden, Tree, Skate Park)""",TGPF35,Marked/Current,,1
Cherokee Rec Center,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""","CRC3,CRC4,CSRF6",Marked/Current,,3
Cherokee Street,Other Places,"MZSPA18,MTHS6,MZSPB18,INDI2,INDI7,INDI4,SFSL15,LOOP3,SLAM1,MZSPJ2,TGFM9,MZSPK11,CAML4,CAML8,SLPLC22,MZSPO1",Marked/Current,,16
Cherokee Street Indian Statue,"""Artwork (Statue, Sculpture)""",CSRF1,Marked/Current,,1
Chestnut Street,"""Infrastructure (Streets, Highways, Water Tower)""","MZSPB20,CBOHA4",Marked/Current,,2
"Chicago, IL",Other Places,"MTHS5,TRNG3,PULS1",Marked/Current,,3
Chicken Coop (unmarked),Personal Site,MOBG6,Marked/Current,,1
Chik-fil-A,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""","MTHS7,MZSPB24",Marked/Current,,2
Children's Hospital,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""","SFSL2,SFSL17",Marked/Current,,2
Children's Museum,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",WUEC16,Marked/Current,,1
Chinatown,Notable Site,"MZSPA20,WUECC7",Erased /Demolished,,2
Chipotle,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",CAML11,Marked/Current,,1
Chippewa Street,"""Infrastructure (Streets, Highways, Water Tower)""",INDI1,Marked/Current,,1
Chop Suey (unmarked),"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",JCLB10,Marked/Current,,1
Christ Temple Family Church,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",WCRC7,Marked/Current,,1
Christopher Columbus Statue (Tower Grove Park),"""Artwork (Statue, Sculpture)""","MOHM10,CSRF1",Marked/Current,,2
Christopher Road,"""Infrastructure (Streets, Highways, Water Tower)""",SLAM3,Marked/Current,,1
Chuck Berry House,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""","WUECB4,CSRF1",Marked/Current,,2
Church (unmarked),"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""","WUEC13,CCFV4",Marked/Current,,2
Circut Court,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""",SFSL2,Marked/Current,,1
City Hall,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""","MZSPA18,MTHS9,SFSL17,SFSL27,TRNG4,CLSC1",Marked/Current,,6
City Museum,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""","MZSPA12,MZSPA18,MZSPE12,MZSPB24,MZSPB27,MZSPF6,MZSPF13,SFSL15,SFSL27,SFSL30,SFSL38,PULS9,SFSLB2,LSRC6,TGFM10,TGPF1,TGPF14,WUECB2,CBOHA1,CAMF3,CLSC1,CLSC3,AGGA8,CCFV3,MZSPL1,MZSPL7,MZSPL8,MOHMC2,MZSPN3,SLPLC21",Marked/Current,,30
City of Northwoods,Other Places,SFSLB19,Marked/Current,,1
City of Pine Lawn,Other Places,SFSLB19,Marked/Current,,1
City of Saint Louis,Other Places,"MZSPB10,WUEC5,TVBP6,SLPLC11,TGEM7,MZSPC8",Marked/Current,,6
Citygarden,"""Park Space (Park, Garden, Tree, Skate Park)""","MZSPA20,MZSPC3,MZSPK8,MZSPK13,MZSPK14,MOBG5,SFTF3,SFTF6,WCRC15,MOHMC2,TVBP4,SLPLB11",Marked/Current,,12
Civil Life Brewing Company,"""Institution/Building (University, School, Hospital, Museum, Prominent Sign)""","PULS7,SLAM2,TGFM11",Marked/Current,,3
